EN	gloss	latin	han	root_level	topic
I'm sorry — I should have started earlier.	I RI sorry: I RI if-good begin before finish.	Eko ri perton: eko ri pospona apa yer vin.	己 ⊢ 悔: 己 ⊢ 可好 开 前 閉.	4	pleasantries;feelings
Next time, tell me sooner.	in after time, please more fast say to me.	In tar tempo, pam mas veros tika ver eko.	内 后 时, 乞 更 早 言 向 己.	2	smalltalk
I will.	I RI make A this.	Eko ri vake a tis.	己 ⊢ 作 ⇒ 此.	2	smalltalk
Go get some coffee.	please go get A black-drink.	Pam ire toma a neropipe.	乞 行 取 ⇒ 黒飲.	3	food
We'll finish by four.	4 hour before, I-group RI finish.	4 ora yer, ekomen ri vin.	4 刻 前, 己众 ⊢ 閉.	2	time;numbers
Do you know when the train leaves?	you RI know A line-vehicle RI out-go in what-hour, what?	Tu ri sape a rinekaro ri eksire in kerora, ker?	尔 ⊢ 知 ⇒ 糸车 ⊢ 外行 内 何刻, 何?	4	travel;time
I see the child.	I RI see A child.	Eko ri vite a nino.	己 ⊢ 見 ⇒ 子.	2	family
The child wants water.	child RI want A water.	Nino ri vori a aku.	子 ⊢ 求 ⇒ 水.	1	family;food
We'll get the food soon.	I-group RI fast get A food.	Ekomen ri veros toma a komi.	己众 ⊢ 早 取 ⇒ 食.	2	food
My mother makes good food.	me woman-parent RI make A good food.	Eko vemapari ri vake a pona komi.	己 女亲 ⊢ 作 ⇒ 好 食.	2	family;food
Please come with me.	please come and me.	Pam veni kum eko.	乞 来 并 己.	2	
I see the fish in the water.	I RI see A water-animal in water.	Eko ri vite a akupeste in aku.	己 ⊢ 見 ⇒ 水匹 内 水.	2	
I drink tea with my father.	I RI drink A plant-water and me man-parent.	Eko ri pipe a arpoaku kum eko viropari.	己 ⊢ 飲 ⇒ 木水 并 己 男亲.	2	food;family
Please bring the water to the child.	please have-come A water to child.	Pam teneveni a aku ver nino.	乞 有来 ⇒ 水 向 子.	2	food;family
I'm getting food for you.	I RI get A food for you.	Eko ri toma a komi por tu.	己 ⊢ 取 ⇒ 食 為 尔.	2	food
Can you bring water for the child?	you RI can have-come A water for child, what?	Tu ri kan teneveni a aku por nino, ker?	尔 ⊢ 能 有来 ⇒ 水 為 子, 何?	2	food;family
The station is near, isn't it?	vehicle-place RI near, not?	Karoroko ri nir, non?	车所 ⊢ 近, 不?	2	travel
This fish is good, right?	this water-animal RI good, yes?	Tis akupeste ri pona, si?	此 水匹 ⊢ 好, 是?	2	food
Yesterday I read a good story.	sun-before, I RI write-see A good say-thing.	Yanyer, eko ri kitavite a pona tikakosa.	日前, 己 ⊢ 写見 ⇒ 好 言物.	2	dates
Today I'm meeting your relatives.	this-sun, I RI meet A you parent-group.	Tisyan, eko ri sarve a tu parimen.	此日, 己 ⊢ 会 ⇒ 尔 亲众.	2	family;dates;meeting
Tomorrow we're going to the sea.	sun-after, I-group RI go to big-water.	Yantar, ekomen ri ire ver mekaaku.	日后, 己众 ⊢ 行 向 大水.	1	travel;dates
I love the sea, but I can't swim.	I RI big-like A big-water, but I RI not can water-go.	Eko ri mekakusta a mekaaku, sets eko ri non kan akuire.	己 ⊢ 大愛 ⇒ 大水, 但 己 ⊢ 不 能 水行.	2	travel;feelings
The story is beautiful, but it isn't true.	say-thing RI good-see, but this RI not true.	Tikakosa ri ponavite, sets tis ri non ves.	言物 ⊢ 好見, 但 此 ⊢ 不 真.	2	
I'm thirsty, but I don't want tea.	I RI drink-want, but I RI not want A plant-water.	Eko ri pipevori, sets eko ri non vori a arpoaku.	己 ⊢ 飲求, 但 己 ⊢ 不 求 ⇒ 木水.	2	food;feelings
Tomorrow my mother is coming, but my father isn't.	sun-after, me woman-parent RI come, but me man-parent RI not come.	Yantar, eko vemapari ri veni, sets eko viropari ri non veni.	日后, 己 女亲 ⊢ 来, 但 己 男亲 ⊢ 不 来.	2	family;dates
I'm going home.	I RI go to home.	Eko ri ire ver kase.	己 ⊢ 行 向 户.	3	
I'm eating with you.	I RI food and you.	Eko ri komi kum tu.	己 ⊢ 食 并 尔.	1	food
I'm here.	I RI in this-place.	Eko ri in tisroko.	己 ⊢ 内 此所.	1	
I'm with the child.	I RI and child.	Eko ri kum nino.	己 ⊢ 并 子.	1	family
This is for you.	this RI for you.	Tis ri por tu.	此 ⊢ 為 尔.	2	
Please come at seven.	please come in seven hour.	Pam veni in sens ora.	乞 来 内 7 刻.	2	time
Please give that to me.	please give A this to me.	Pam tonar a tis ver eko.	乞 与 ⇒ 此 向 己.	4	
Where is the bathroom?	toilet RI what-place?	Panyu ri kerroko?	便 ⊢ 何所?	5	travel
Where are you going?	you RI go to what-place?	Tu ri ire ver kerroko?	尔 ⊢ 行 向 何所?	1	travel
How much is this?	this RI what money?	Tis ri ker moni?	此 ⊢ 何 贝?	3	money
Who is the doctor?	what-person RI heal-person?	Keromo ri sanaomo?	何人 ⊢ 医人?	4	health
Do you see the dog?	you RI see A dog, what?	Tu ri vite a kanis, ker?	尔 ⊢ 見 ⇒ 犬, 何?	5	
You see the dog, don't you?	you RI see A dog, not?	Tu ri vite a kanis, non?	尔 ⊢ 見 ⇒ 犬, 不?	5	
You see the dog, right?	you RI see A dog, yes?	Tu ri vite a kanis, si?	尔 ⊢ 見 ⇒ 犬, 是?	5	
Yes, I see.	yes, see.	Si, vite.	是, 見.	2	pleasantries
No, I don't see.	not see.	Non vite.	不 見.	2	pleasantries
Yesterday I saw the dog.	sun-before, I RI see A dog.	Yanyer, eko ri vite a kanis.	日前, 己 ⊢ 見 ⇒ 犬.	5	dates
Tomorrow I will see the dog.	sun-after, I RI see A dog.	Yantar, eko ri vite a kanis.	日后, 己 ⊢ 見 ⇒ 犬.	5	dates
I can go.	I RI can go.	Eko ri kan ire.	己 ⊢ 能 行.	2	
You may be right.	you RI if true.	Tu ri pos ves.	尔 ⊢ 可 真.	4	
I want to go.	I RI want go.	Eko ri vori ire.	己 ⊢ 求 行.	1	
I should go.	I RI if-good go.	Eko ri pospona ire.	己 ⊢ 可好 行.	4	
I must go.	I RI must go.	Eko ri neses ire.	己 ⊢ 要 行.	4	
I am beginning to eat.	I RI food begin.	Eko ri komi apa.	己 ⊢ 食 开.	4	food
I have eaten.	I RI food finish.	Eko ri komi vin.	己 ⊢ 食 閉.	1	food
I am still eating.	I RI food remain.	Eko ri komi sista.	己 ⊢ 食 止.	4	food
I am still here.	I RI in this-place remain.	Eko ri in tisroko sista.	己 ⊢ 内 此所 止.	4	
I could have gone.	I RI can go finish.	Eko ri kan ire vin.	己 ⊢ 能 行 閉.	2	
You could have told me.	you RI can say to I finish.	Tu ri kan tika ver eko vin.	尔 ⊢ 能 言 向 己 閉.	2	
I might have gone.	I RI if go finish.	Eko ri pos ire vin.	己 ⊢ 可 行 閉.	4	
I should have gone.	I RI if-good go finish.	Eko ri pospona ire vin.	己 ⊢ 可好 行 閉.	4	
I must have gone.	I RI must go finish.	Eko ri neses ire vin.	己 ⊢ 要 行 閉.	4	
If I have the money, I'll buy it.	if I RI have A money, this-reason I RI buy A this.	Pos eko ri tene a moni, tisrason eko ri kompar a tis.	可 己 ⊢ 有 ⇒ 贝, 此故 己 ⊢ 買 ⇒ 此.	4	money
If you come, we'll be happy.	if you RI come, this-reason I-group RI happy.	Pos tu ri veni, tisrason ekomen ri konten.	可 尔 ⊢ 来, 此故 己众 ⊢ 楽.	4	feelings
If I had the money, I would buy it.	not-true I RI have A money, this-reason I RI buy A this.	Nonves eko ri tene a moni, tisrason eko ri kompar a tis.	不真 己 ⊢ 有 ⇒ 贝, 此故 己 ⊢ 買 ⇒ 此.	4	money
If I had had the money, I would have bought it.	not-true I RI have A money finish, this-reason I RI buy A this finish.	Nonves eko ri tene a moni vin, tisrason eko ri kompar a tis vin.	不真 己 ⊢ 有 ⇒ 贝 閉, 此故 己 ⊢ 買 ⇒ 此 閉.	4	money
I want you to come.	I RI want A you RI come.	Eko ri vori a tu ri veni.	己 ⊢ 求 ⇒ 尔 ⊢ 来.	2	
I ask the cook to make it not spicy.	I RI want-say to food-make-person A this RI become not hot-taste.	Eko ri voritika ver komivakeomo a tis ri tiven non wosapor.	己 ⊢ 求言 向 食作人 ⇒ 此 ⊢ 成 不 火味.	4	food
I think you would like it.	I RI think A you RI like A this.	Eko ri pensa a tu ri kusta a tis.	己 ⊢ 思 ⇒ 尔 ⊢ 愛 ⇒ 此.	4	feelings
Whatever you have, send me that.	you RI have A what-thing, please give A this to me.	Tu ri tene a kerkosa, pam tonar a tis ver eko.	尔 ⊢ 有 ⇒ 何物, 乞 与 ⇒ 此 向 己.	4	
Please wait until I get back.	I RI back-come in what-hour, please remain straight-to this.	Eko ri retseveni in kerora, pam sista retover tis.	己 ⊢ 反来 内 何刻, 乞 止 直向 此.	4	
the animal the person ate	person RI food RI-TE animal.	Omo ri komi rite peste.	人 ⊢ 食 ⊢> 匹.	3	food
Send me what you have.	please give A you RI have RI-TE thing to me.	Pam tonar a tu ri tene rite kosa ver eko.	乞 与 ⇒ 尔 ⊢ 有 ⊢> 物 向 己.	4	
The shop that sells tea is closed.	RI buy A plant-water RI-TE buy-place RI close.	Ri kompar a arpoaku rite komparroko ri vin.	⊢ 買 ⇒ 木水 ⊢> 買所 ⊢ 閉.	4	money;food
The shop where I bought tea is closed.	I RI buy A plant-water RI-TE buy-place RI close.	Eko ri kompar a arpoaku rite komparroko ri vin.	己 ⊢ 買 ⇒ 木水 ⊢> 買所 ⊢ 閉.	4	money;food
The food you made is very good.	you RI make RI-TE food RI big good.	Tu ri vake rite komi ri meka pona.	尔 ⊢ 作 ⊢> 食 ⊢ 大 好.	3	food
I know the woman you met.	I RI know A you RI meet RI-TE woman.	Eko ri sape a tu ri sarve rite vema.	己 ⊢ 知 ⇒ 尔 ⊢ 会 ⊢> 女.	3	meeting
The train that goes to the airport leaves at nine.	RI go to air-vehicle-place RI-TE metal-line-vehicle RI out-go in 9 hour.	Ri ire ver ventokaroroko rite metarrinekaro ri eksire in 9 ora.	⊢ 行 向 风车所 ⊢> 金糸车 ⊢ 外行 内 9 刻.	4	travel;time
The place where we ate is near the river.	I-group RI food RI-TE place RI near long-water.	Ekomen ri komi rite roko ri nir ronkaaku.	己众 ⊢ 食 ⊢> 所 ⊢ 近 长水.	3	food;travel
The key you gave me is on the table.	you RI give to me RI-TE key RI on table.	Tu ri tonar ver eko rite yave ri sur tapur.	尔 ⊢ 与 向 己 ⊢> 錠 ⊢ 上 机.	5	lodging
It's stopping!	RI remain!	Ri sista!	⊢ 止!	4	
Stop!	remain!	Sista!	止!	4	
All is good.	all RI good.	Pan ri pona.	全 ⊢ 好.	3	pleasantries
I see.	I RI see.	Eko ri vite.	己 ⊢ 見.	2	pleasantries
I thank you.	I RI thank A you.	Eko ri mersi a tu.	己 ⊢ 恩 ⇒ 尔.	2	pleasantries
Yes, please.	yes, please.	Si, pam.	是, 乞.	1	pleasantries
No, thank you.	not, thank.	Non, mersi.	不, 恩.	2	pleasantries
Help, please!	please help!	Pam servi!	乞 助!	4	pleasantries;health
Welcome.	happy-come.	Kontenveni.	楽来.	2	pleasantries
Bye!	sorry-go!	Pertonire!	悔行!	1	pleasantries
See you later.	after-meet.	Tarsarve.	后会.	1	pleasantries
If it rains, we'll stay home.	if RI rain, this-reason I-group RI remain in home.	Pos ri ruva, tisrason ekomen ri sista in kase.	可 ⊢ 雨, 此故 己众 ⊢ 止 内 户.	4	weather
If the train is late, please tell me.	if metal-line-vehicle RI after, this-reason please say to me.	Pos metarrinekaro ri tar, tisrason pam tika ver eko.	可 金糸车 ⊢ 后, 此故 乞 言 向 己.	4	travel
If you're tired, we can go back.	if you RI tired, this-reason I-group RI can back-go.	Pos tu ri kansa, tisrason ekomen ri kan retsire.	可 尔 ⊢ 疲, 此故 己众 ⊢ 能 反行.	5	health;feelings
If it's too expensive, I won't buy it.	if this RI up-degree money, this-reason I RI not buy A this.	Pos tis ri surmesur moni, tisrason eko ri non kompar a tis.	可 此 ⊢ 上寸 贝, 此故 己 ⊢ 不 買 ⇒ 此.	4	money
If you want, I'll bring water.	if you RI want, this-reason I RI have-come A water.	Pos tu ri vori, tisrason eko ri teneveni a aku.	可 尔 ⊢ 求, 此故 己 ⊢ 有来 ⇒ 水.	4	food
If you build it, they will come.	if you RI make A this, this-reason not-this-person RI come.	Pos tu ri vake a tis, tisrason nontisomo ri veni.	可 尔 ⊢ 作 ⇒ 此, 此故 不此人 ⊢ 来.	4	
If there's no hot water, tell the staff.	if RI no hot water, this-reason please say to help-person.	Pos ri nem wo aku, tisrason pam tika ver serviomo.	可 ⊢ 无 火 水, 此故 乞 言 向 助人.	4	lodging
If you come tomorrow, we can eat together.	if you RI come sun-after, this-reason I-group RI can join food.	Pos tu ri veni yantar, tisrason ekomen ri kan yunta komi.	可 尔 ⊢ 来 日后, 此故 己众 ⊢ 能 合 食.	4	dates;food
If it isn't spicy, the child will eat it.	if this RI not hot-taste, this-reason child RI food A this.	Pos tis ri non wosapor, tisrason nino ri komi a tis.	可 此 ⊢ 不 火味, 此故 子 ⊢ 食 ⇒ 此.	4	food;family
If I had known, I would have come earlier.	not-true I RI know finish, this-reason I RI come before finish.	Nonves eko ri sape vin, tisrason eko ri veni yer vin.	不真 己 ⊢ 知 閉, 此故 己 ⊢ 来 前 閉.	4	
If the shop were open, we could buy food.	not-true buy-place RI open, this-reason I-group RI can buy A food.	Nonves komparroko ri apa, tisrason ekomen ri kan kompar a komi.	不真 買所 ⊢ 开, 此故 己众 ⊢ 能 買 ⇒ 食.	4	money;food
If I had a car, I would drive.	not-true I RI have A vehicle, this-reason I RI vehicle-go.	Nonves eko ri tene a karo, tisrason eko ri karoire.	不真 己 ⊢ 有 ⇒ 车, 此故 己 ⊢ 车行.	4	travel
If I had eaten, I wouldn't be hungry now.	not-true I RI food finish, this-reason I RI not food-want this-time.	Nonves eko ri komi vin, tisrason eko ri non komivori tistempo.	不真 己 ⊢ 食 閉, 此故 己 ⊢ 不 食求 此时.	4	food;health
I want a red fruit.	I RI want A red fruit.	Eko ri vori a rus pomo.	己 ⊢ 求 ⇒ 赤 果.	3	colors;food
This is a yellow fruit.	this RI yellow fruit.	Tis ri yoro pomo.	此 ⊢ 黄 果.	3	colors;food
We're going to my father's house.	I-group RI go to me man-parent home.	Ekomen ri ire ver eko viropari kase.	己众 ⊢ 行 向 己 男亲 户.	3	family
I see a small fish.	I RI see A small water-animal.	Eko ri vite a piko akupeste.	己 ⊢ 見 ⇒ 小 水匹.	2	
This is a sea creature.	this RI big water TE animal.	Tis ri meka aku te peste.	此 ⊢ 大 水 > 匹.	3	
She's a business owner who is small.	this-person RI small buy-group have-person.	Tisomo ri piko komparmen teneomo.	此人 ⊢ 小 買众 有人.	4	smalltalk
She's a small-business owner.	this-person RI small buy-group TE have-person.	Tisomo ri piko komparmen te teneomo.	此人 ⊢ 小 買众 > 有人.	4	smalltalk
I want that big red ball.	I RI want A not-this big red round.	Eko ri vori a nontis meka rus rotun.	己 ⊢ 求 ⇒ 不此 大 赤 丸.	4	colors
I have a black-and-white picture.	I RI have A black and white picture.	Eko ri tene a nero kum anka pitur.	己 ⊢ 有 ⇒ 黒 并 白 画.	4	colors
She's a happier person.	this-person RI more happy person.	Tisomo ri mas konten omo.	此人 ⊢ 更 楽 人.	2	
It's a tea shop that is green.	this RI green plant-water buy-place.	Tis ri verte arpoaku komparroko.	此 ⊢ 緑 木水 買所.	4	colors;food
It's a green-tea shop.	this RI green plant-water TE buy-place.	Tis ri verte arpoaku te komparroko.	此 ⊢ 緑 木水 > 買所.	4	food
She's a tea-shop owner.	this-person RI plant-water buy-place TE have-person.	Tisomo ri arpoaku komparroko te teneomo.	此人 ⊢ 木水 買所 > 有人.	4	food
She owns a tea shop that's green.	this-person RI green plant-water buy-place TE have-person.	Tisomo ri verte arpoaku komparroko te teneomo.	此人 ⊢ 緑 木水 買所 > 有人.	4	colors;food
She's the owner of a green-tea shop.	this-person RI green plant-water TE buy-place TE have-person.	Tisomo ri verte arpoaku te komparroko te teneomo.	此人 ⊢ 緑 木水 > 買所 > 有人.	4	food
Where are you going for summer vacation?	in hot-time play-come-go, you RI go to what-place?	In wotempo yuveniire, tu ri ire ver kerroko?	内 火时 玩来行, 尔 ⊢ 行 向 何所?	3	seasons;travel
The man is sick.	man RI sick.	Viro ri mara.	男 ⊢ 病.	4	health
The teacher said Mary was a well-balanced child who got on well at school.	learn-give-person RI say A Mary RI heal-think child, and this-person RI good work in learn-place.	Impartonaromo ri tika a Meri ri sanapensa nino, kum tisomo ri pona opus in imparroko.	学与人 ⊢ 言 ⇒ Meri ⊢ 医思 子, 并 此人 ⊢ 好 力 内 学所.	4	family;names
Did you ever travel abroad by ship?	you RI come-go to out-country in water-vehicle manner finish, what?	Tu ri veniire ver eksenasyon in akukaro moto vin, ker?	尔 ⊢ 来行 向 外国 内 水车 方 閉, 何?	5	travel
Tom can't remember where he put his wallet.	Tom RI not can know-have A this-person RI put A money-box in what-place.	Tom ri non kan sapetene a tisomo ri seta a monivaso in kerroko.	Tom ⊢ 不 能 知有 ⇒ 此人 ⊢ 坐 ⇒ 贝皿 内 何所.	4	names;money
Tom likes to watch TV while he eats.	Tom RI like A electric-see in food-time.	Tom ri kusta a vortovite in komitempo.	Tom ⊢ 愛 ⇒ 電見 内 食时.	4	names;smalltalk;feelings
When Tom eats, he watches TV.	Tom RI food in what-time, this-person RI electric-see.	Tom ri komi in kertempo, tisomo ri vortovite.	Tom ⊢ 食 内 何时, 此人 ⊢ 電見.	4	names;smalltalk
I want to try eating meat.	I RI want A try A food A meat.	Eko ri vori a tentar a komi a karne.	己 ⊢ 求 ⇒ 試 ⇒ 食 ⇒ 肉.	4	food
I like to read comic books.	I RI like A write-see A picture-many-page.	Eko ri kusta a kitavite a piturmurkarta.	己 ⊢ 愛 ⇒ 写見 ⇒ 画多片.	4	smalltalk;feelings
How old are you?	you year-interval RI what?	Tu anyoturan ri ker?	尔 年間 ⊢ 何?	3	meeting;numbers
I'm 34 years old.	me year-interval RI 34.	Eko anyoturan ri 34.	己 年間 ⊢ 34.	3	meeting;numbers
My boss is younger than me.	me work-head RI more year-small than me.	Eko opustesta ri mas anyopiko vons eko.	己 力头 ⊢ 更 年小 从 己.	4	smalltalk
My older sister will be visiting for the holidays.	in not-work-time, me more year-big same-parent-woman RI come.	In nonopustempo, eko mas anyomeka samparivema ri veni.	内 不力时, 己 更 年大 同亲女 ⊢ 来.	3	family;dates
Would you like anything else?	you RI want A other-thing, what?	Tu ri vori a arkosa, ker?	尔 ⊢ 求 ⇒ 別物, 何?	5	money;food
I hope I can find it, or else I'll have to buy a new one.	I RI want A I RI can again-get A this; or I RI must buy A new thing.	Eko ri vori a eko ri kan repetoma a tis; sive eko ri neses kompar a nova kosa.	己 ⊢ 求 ⇒ 己 ⊢ 能 又取 ⇒ 此; 或 己 ⊢ 要 買 ⇒ 初 物.	5	money
Leave now, or you'll miss the train.	please out-go in this-time, or you RI lose A metal-line-vehicle.	Pam eksire in tistempo, sive tu ri perti a metarrinekaro.	乞 外行 内 此时, 或 尔 ⊢ 失 ⇒ 金糸车.	5	travel
The flock is flying over the sea.	bird-group RI air-go up big-water.	Avismen ri ventoire sur mekaaku.	鳥众 ⊢ 风行 上 大水.	5	
Can I ride a horse here?	I RI can vehicle-put A vehicle-animal in this-place, what?	Eko ri kan karoseta a karopeste in tisroko, ker?	己 ⊢ 能 车坐 ⇒ 车匹 内 此所, 何?	4	travel
The child jumped into the water.	child RI leg-up-go to water.	Nino ri kampasurire ver aku.	子 ⊢ 足上行 向 水.	4	family
Prices are going up.	money-amount RI up-go.	Monimesur ri surire.	贝寸 ⊢ 上行.	3	money
Turn left at the next corner.	please bend to left in after-sequence bend-place.	Pam kurva ver sini in tarorten kurvaroko.	乞 弓 向 左 内 后序 弓所.	5	travel
I prefer tea to coffee.	I RI more like A plant-water than black-drink.	Eko ri mas kusta a arpoaku vons neropipe.	己 ⊢ 更 愛 ⇒ 木水 从 黒飲.	3	food;feelings
I would rather walk.	I RI more like A leg-go.	Eko ri mas kusta a kampaire.	己 ⊢ 更 愛 ⇒ 足行.	4	travel;feelings
The station is between the shop and the river.	vehicle-place RI middle buy-place and long-water.	Karoroko ri mets komparroko kum ronkaaku.	车所 ⊢ 中 買所 并 长水.	4	travel
Please pick one of these.	please choose A one middle this.	Pam erike a wun mets tis.	乞 选 ⇒ 1 中 此.	4	
Is there a doctor among us?	RI heal-person middle I-group, what?	Ri sanaomo mets ekomen, ker?	⊢ 医人 中 己众, 何?	4	health
Please bring me a menu.	please have-come A food-sequence to me.	Pam teneveni a komiorten ver eko.	乞 有来 ⇒ 食序 向 己.	3	food
What does the label say?	label RI say A what?	Nomen ri tika a ker?	名 ⊢ 言 ⇒ 何?	2	money;food
Can you give me a hand?	you RI can hand-give to me, what?	Tu ri kan manutonar ver eko, ker?	尔 ⊢ 能 手与 向 己, 何?	5	pleasantries
The boss gave us the green light.	work-head RI green-say to I-group.	Opustesta ri vertetika ver ekomen.	力头 ⊢ 緑言 向 己众.	4	smalltalk;colors
No ice, please.	no cold, please.	Nem rikus, pam.	无 冷, 乞.	4	food
Not cold, please.	not cold, please.	Non rikus, pam.	不 冷, 乞.	4	food
The children want ice cream.	child RI want A cold-milk.	Nino ri vori a rikusraten.	子 ⊢ 求 ⇒ 冷乳.	4	food;family
Iced tea, please.	cold-plant-water, please.	Rikusarpoaku, pam.	冷木水, 乞.	4	food
It is snowing.	RI cold-rain.	Ri rikusruva.	⊢ 冷雨.	4	weather
I like my present job.	I RI like A me this work.	Eko ri kusta a eko tis opus.	己 ⊢ 愛 ⇒ 己 此 力.	2	smalltalk;feelings
From now on, please tell me sooner.	from this-time, please more fast say to me.	Vons tistempo, pam mas veros tika ver eko.	从 此时, 乞 更 早 言 向 己.	2	smalltalk
I am tired. I need to go to bed!	I RI tired. I RI must sleep!	Eko ri kansa. Eko ri neses tormi!	己 ⊢ 疲. 己 ⊢ 要 床!	5	health;feelings
I need to charge my phone.	I RI must sleep A me electric-say.	Eko ri neses tormi a eko vortotika.	己 ⊢ 要 床 ⇒ 己 電言.	4	travel
Unfortunately, the food supplies gave out before the end of winter.	bad-if, cold-time-finish before, have-food RI finish.	Marumpos, rikustempovin yer, tenekomi ri vin.	悪可, 冷时閉 前, 有食 ⊢ 閉.	4	food;seasons
Why do I have to tell them?	I RI must say to not-this-person, what-reason?	Eko ri neses tika ver nontisomo, kerrason?	己 ⊢ 要 言 向 不此人, 何故?	4	
Please return the book when you have finished reading it.	you RI write-see A many-page finish in what-time, please back-give A this.	Tu ri kitavite a murkarta vin in kertempo, pam retsetonar a tis.	尔 ⊢ 写見 ⇒ 多片 閉 内 何时, 乞 反与 ⇒ 此.	4	smalltalk
What color is it?	this RI what color?	Tis ri ker koror?	此 ⊢ 何 色?	3	colors
Someone else is coming.	other RI come.	Ar ri veni.	別 ⊢ 来.	5	names
Hal is coming.	person Hal RI come.	Omo Ar ri veni.	人 Ar ⊢ 来.	2	names
I'm going to Lisbon.	I RI go to city Lisbon.	Eko ri ire ver sitas Rispan.	己 ⊢ 行 向 市 Rispan.	4	names;travel
What time is it?	hour RI what?	Ora ri ker?	刻 ⊢ 何?	1	time
Nine in the morning.	up-sun 9 hour.	Suryan 9 ora.	上日 9 刻.	2	time
Nine at night.	no-sun 9 hour.	Nemyan 9 ora.	无日 9 刻.	2	time
For three hours.	3 hour interval.	3 ora turan.	3 刻 間.	2	time
Ten minutes.	10 part interval.	10 parte turan.	10 分 間.	2	time
Thirty seconds.	30 small-part interval.	30 pikoparte turan.	30 小分 間.	2	time
For a week.	1 seven-sun interval.	1 senseyan turan.	1 7日 間.	2	time
Two days ago.	2 sun before.	2 yan yer.	2 日 前.	1	dates
The party starts at 7 PM.	play-group RI begin in down-sun 7 hour.	Yumen ri apa in tunyan 7 ora.	玩众 ⊢ 开 内 下日 7 刻.	5	time
Think about the future.	please think A after-time.	Pam pensa a tartempo.	乞 思 ⇒ 后时.	4	time
I don't want to think about the past.	I RI not want A think A before-time.	Eko ri non vori a pensa a yertempo.	己 ⊢ 不 求 ⇒ 思 ⇒ 前时.	4	time
This used to be a school.	before-time, this RI learn-place.	Yertempo, tis ri imparroko.	前时, 此 ⊢ 学所.	4	time
In the future, everything will be easier.	after-time, all RI more not-hard.	Tartempo, pan ri mas nonsorin.	后时, 全 ⊢ 更 不硬.	4	time
Please stop the car.	please remain A vehicle.	Pam sista a karo.	乞 止 ⇒ 车.	4	travel
Alice: Mary, look at this!  It's so cute!	Alice: Mary, see A this! this RI big good-see!	Aras: Meri, vite a tis! Tis ri meka ponavite!	Aras: Meri, 見 ⇒ 此! 此 ⊢ 大 好見!	2	money
Mary: It is!  You should buy it.	Mary: yes, true! you RI if-good buy A this.	Meri: Si, ves! Tu ri pospona kompar a tis.	Meri: 是, 真! 尔 ⊢ 可好 買 ⇒ 此.	4	money
Alice: I don't know...  How much is this?	Alice: I RI not know... this RI what money?	Aras: Eko ri non sape... Tis ri ker moni?	Aras: 己 ⊢ 不 知... 此 ⊢ 何 贝?	3	money
Shopkeeper: That's 7 dollars.	buy-person: this RI 7 money.	Komparomo: Tis ri 7 moni.	買人: 此 ⊢ 7 贝.	4	money
Mary: 7 dollars is cheap!  And I think it would look good on you.	Mary: 7 money RI small-money! and I RI think A this RI good-see up you.	Meri: 7 moni ri pikomoni! Kum eko ri pensa a tis ri ponavite sur tu.	Meri: 7 贝 ⊢ 小贝! 并 己 ⊢ 思 ⇒ 此 ⊢ 好見 上 尔.	4	money
Alice: OK, I'll take it!	Alice: good, I RI get A this!	Aras: Pona, eko ri toma a tis!	Aras: 好, 己 ⊢ 取 ⇒ 此!	2	money
Shopkeeper: Very good.  Cash or card?	buy-person: big good. hand-money or money-card, what?	Komparomo: Meka pona. Manumoni sive monikarta, ker?	買人: 大 好. 手贝 或 贝片, 何?	5	money
Narrator: Alice looks in her wallet.	say-thing-person: Alice RI see in money-box.	Tikakosaomo: Aras ri vite in monivaso.	言物人: Aras ⊢ 見 内 贝皿.	4	money
Alice: Cash — here's 10 dollars.	Alice: hand-money. this RI 10 money.	Aras: Manumoni. Tis ri 10 moni.	Aras: 手贝. 此 ⊢ 10 贝.	5	money
Shopkeeper: Thank you...  three dollars change.  Do you need a bag?	buy-person: thank... 3 back-money. you RI must A buy-box, what?	Komparomo: Mersi... 3 retsemoni. Tu ri neses a komparvaso, ker?	買人: 恩... 3 反贝. 尔 ⊢ 要 ⇒ 買皿, 何?	4	money
Alice: Yes please.	Alice: yes, please.	Aras: Si, pam.	Aras: 是, 乞.	1	money
Shopkeeper: Here you go.  Please come again!	buy-person: this RI for you. please again come!	Komparomo: Tis ri por tu. Pam repe veni!	買人: 此 ⊢ 為 尔. 乞 又 来!	4	money
Can I help you?	I RI can help A you, what?	Eko ri kan servi a tu, ker?	己 ⊢ 能 助 ⇒ 尔, 何?	4	pleasantries;smalltalk
A Chinese person speaks Chinese.	China person RI say A Chinese.	Taina omo ri tika a Tainis.	Taina 人 ⊢ 言 ⇒ Tainis.	1	names
